A1,A2,B1,B2,C1,C2,TOEFL,IELTS,SAT,userLevelByHuman
0.0,0.8,0.0,0.001,0.0,0.001,0.0,0.0,0.0,2
0.801,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.95,0.9,0.0,0.001,0.0,0.0,0.0,0.001,0.0,2
0.7,0.8,0.0,0.0,0.002,0.0,0.0,0.001,0.001,2
0.799,0.8,0.0,0.0,0.0,0.001,0.0,0.0,0.0,2
0.95,0.9,0.599,0.0,0.001,0.001,0.0,0.001,0.0,2
1.0,0.0,0.7,0.001,0.0,0.0,0.0,0.001,0.0,2
0.001,0.9,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2
0.7,0.799,0.001,0.0,0.002,0.001,0.001,0.0,0.0,2
1.0,0.0,0.299,0.0,0.0,0.0,0.001,0.0,0.002,2
0.9,0.9,0.0,0.0,0.001,0.0,0.0,0.0,0.001,2
0.8,0.9,0.001,0.001,0.0,0.0,0.0,0.001,0.0,2
0.699,0.8,0.0,0.0,0.0,0.0,0.001,0.001,0.0,2
0.85,0.901,0.699,0.0,0.0,0.0,0.0,0.001,0.001,2
0.0,0.001,0.4,0.0,0.0,0.001,0.0,0.0,0.0,2
0.0,0.799,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2
0.7,0.75,0.001,0.0,0.0,0.0,0.0,0.001,0.002,2
0.7,0.8,0.0,0.0,0.001,0.0,0.001,0.0,0.0,2
0.898,0.5,0.599,0.0,0.0,0.0,0.0,0.0,0.0,2
1.0,0.499,0.5,0.0,0.002,0.001,0.0,0.001,0.001,2
0.001,1.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,2
0.9,0.699,0.45,0.3,0.0,0.0,0.001,0.0,0.001,2
0.801,0.9,0.601,0.0,0.0,0.001,0.0,0.0,0.0,2
0.9,0.9,0.6,0.0,0.0,0.001,0.0,0.001,0.001,2
0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,2
0.821,0.95,0.0,0.0,0.001,0.001,0.0,0.001,0.0,2
0.969,0.671,0.0,0.0,0.4,0.001,0.001,0.0,0.0,2
1.001,0.83,0.0,0.0,0.0,0.001,0.001,0.001,0.0,2
0.8,0.899,0.0,0.0,0.0,0.0,0.001,0.0,0.0,2
0.999,0.83,0.0,0.0,0.001,0.001,0.0,0.002,0.0,2
0.001,0.9,0.001,0.001,0.0,0.002,0.001,0.001,0.0,2
0.681,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.001,2
0.88,0.8,0.7,0.0,0.0,0.001,0.0,0.0,0.0,2
1.0,0.0,0.701,0.0,0.0,0.0,0.002,0.0,0.0,2
1.001,0.0,0.4,0.001,0.0,0.001,0.0,0.0,0.0,2
0.699,0.8,0.002,0.0,0.0,0.001,0.002,0.001,0.0,2
0.3,0.9,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2
0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2
0.93,0.851,0.0,0.0,0.0,0.001,0.0,0.0,0.002,2
0.9,0.9,0.6,0.001,0.0,0.0,0.0,0.001,0.001,2
0.7,0.801,0.0,0.001,0.002,0.001,0.0,0.001,0.001,2
0.7,0.801,0.0,0.0,0.002,0.0,0.0,0.001,0.001,2
0.47,0.399,0.3,0.0,0.001,0.0,0.001,0.001,0.0,2
0.88,0.77,0.599,0.0,0.0,0.0,0.0,0.0,0.0,2
0.85,0.55,0.299,0.001,0.0,0.001,0.001,0.001,0.001,2
0.87,0.55,0.399,0.3,0.201,0.0,0.0,0.001,0.0,2
0.8,0.601,0.4,0.001,0.0,0.001,0.002,0.0,0.001,2
0.95,0.9,0.599,0.0,0.0,0.0,0.001,0.0,0.0,2
1.0,0.83,0.0,0.0,0.001,0.001,0.0,0.0,0.0,2
0.0,1.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,2
0.0,1.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,2
0.899,0.9,0.6,0.0,0.0,0.001,0.0,0.0,0.001,2
0.269,0.8,0.001,0.0,0.0,0.0,0.001,0.0,0.0,2
0.001,1.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,2
0.001,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,2
0.0,1.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,2
0.85,0.549,0.3,0.001,0.001,0.0,0.001,0.0,0.002,2
0.701,0.8,0.001,0.0,0.001,0.0,0.0,0.0,0.001,2
1.0,0.499,0.499,0.0,0.0,0.0,0.0,0.0,0.0,2
0.34,0.5,0.8,0.4,0.1,0.0,0.0,0.0,0.0,3
0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.97,0.7,0.7,0.5,0.2,0.0,0.0,0.0,0.0,3
0.57,0.65,0.6,0.4,0.0,0.0,0.0,0.0,0.0,3
1.0,0.95,1.0,0.7,0.1,0.0,0.0,0.0,0.0,3
0.65,0.77,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.8,0.65,0.9,0.3,0.0,0.0,0.0,0.0,0.0,3
0.8,0.95,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.93,0.85,0.7,0.6,0.0,0.0,0.0,0.0,0.0,3
0.8,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3
0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,3
0.6,0.77,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.84,0.5,0.8,0.4,0.0,0.0,0.0,0.0,0.0,3
0.0,0.7,0.8,0.5,0.1,0.0,0.0,0.0,0.0,3
0.8,0.87,0.9,0.5,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.4,0.7,0.8,0.6,0.0,0.0,0.0,0.0,0.0,3
0.9,0.4,0.9,0.6,0.2,0.0,0.0,0.0,0.0,3
0.97,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,0.85,0.8,0.0,0.3,0.0,0.0,0.0,0.0,3
0.6,0.57,0.9,0.6,0.0,0.0,0.0,0.0,0.0,3
0.47,0.93,0.9,0.6,0.0,0.0,0.0,0.0,0.0,3
0.72,0.83,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.88,0.63,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
1.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.83,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.9,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.48,0.43,0.9,0.6,0.0,0.0,0.0,0.0,0.0,3
0.57,1.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,3
0.28,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.8,0.87,0.9,0.0,0.4,0.0,0.0,0.0,0.0,3
0.0,0.77,0.7,0.5,0.0,0.0,0.0,0.0,0.0,3
0.87,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.83,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.83,0.8,0.5,0.0,0.0,0.0,0.0,0.0,3
0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,3
0.7,0.63,0.7,0.5,0.0,0.0,0.0,0.0,0.0,3
0.97,0.45,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.45,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3
0.0,0.85,0.8,0.6,0.3,0.0,0.0,0.0,0.0,3
0.95,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.63,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.9,0.7,0.8,0.5,0.1,0.0,0.0,0.0,0.0,3
0.93,0.73,0.8,0.5,0.0,0.0,0.0,0.0,0.0,3
0.77,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3
0.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.75,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.6,0.67,0.8,0.7,0.0,0.0,0.0,0.0,0.0,3
0.83,0.9,1.0,0.35,0.0,0.0,0.0,0.0,0.0,3
0.93,0.63,0.9,0.5,0.1,0.0,0.0,0.0,0.0,3
0.85,0.77,0.8,0.3,0.1,0.0,0.0,0.0,0.0,3
0.9,0.77,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.93,0.7,0.6,0.4,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.7,0.63,0.7,0.0,0.3,0.0,0.0,0.0,0.0,3
1.0,0.48,0.4,0.4,0.2,0.0,0.0,0.0,0.0,3
0.95,0.47,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.83,0.8,0.9,0.65,0.0,0.0,0.0,0.0,0.0,3
0.8,0.47,0.8,0.5,0.2,0.0,0.0,0.0,0.0,3
1.0,0.83,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.8,0.5,1.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.95,0.7,0.5,0.6,0.0,0.0,0.0,0.0,0.0,3
0.78,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3
0.9,0.77,0.8,0.6,0.0,0.0,0.0,0.0,0.0,3
0.38,0.55,0.65,0.4,0.0,0.0,0.0,0.0,0.0,3
0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.63,0.6,0.7,0.7,0.0,0.0,0.0,0.0,0.0,3
0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,0.0,3
0.9,0.6,0.0,0.55,0.0,0.0,0.0,0.0,0.0,3
0.84,0.83,1.0,0.4,0.0,0.0,0.0,0.0,0.0,3
0.95,0.67,0.7,0.5,0.1,0.0,0.0,0.0,0.0,3
0.83,0.95,0.7,0.4,0.0,0.0,0.0,0.0,0.0,3
0.72,0.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.71,0.78,0.75,0.4,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.9,0.5,0.0,0.0,0.0,0.0,0.0,3
0.4,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.45,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3
0.5,0.83,0.9,0.7,0.0,0.0,0.0,0.0,0.0,3
0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.7,0.9,0.85,0.7,0.0,0.0,0.0,0.0,0.0,3
0.75,1.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,3
0.87,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.5,0.67,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.57,0.43,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.56,0.87,1.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.65,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.83,0.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,3
0.93,0.43,0.8,0.6,0.0,0.0,0.0,0.0,0.0,3
0.45,0.47,0.9,0.7,0.0,0.0,0.0,0.0,0.0,3
0.68,0.68,0.3,0.3,0.0,0.0,0.0,0.0,0.0,3
0.63,0.67,0.9,0.6,0.0,0.0,0.0,0.0,0.0,3
1.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.6,0.67,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.9,0.7,1.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.86,0.53,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.9,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,3
0.58,0.2,0.5,0.6,0.0,0.0,0.0,0.0,0.0,3
0.78,0.37,0.6,0.4,0.2,0.0,0.0,0.0,0.0,3
0.45,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.33,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.67,0.4,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.83,0.5,0.5,0.6,0.1,0.0,0.37,0.0,0.0,3
0.73,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3
0.9,0.95,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.93,0.3,0.6,0.7,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3
0.9,0.67,0.45,0.55,0.0,0.0,0.0,0.0,0.0,3
0.9,0.53,0.0,0.4,0.2,0.0,0.0,0.0,0.0,3
0.75,0.83,0.4,0.5,0.2,0.0,0.0,0.0,0.0,3
0.3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,3
0.33,1.0,0.9,0.4,0.0,0.0,0.0,0.0,0.0,3
0.7,0.77,0.55,0.4,0.0,0.0,0.0,0.0,0.0,3
0.83,0.45,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3
0.6,0.43,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3
0.8,0.35,0.4,0.5,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0,3
0.8,0.67,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.0,0.95,0.7,0.6,0.0,0.0,0.0,0.0,0.0,3
0.9,0.65,0.45,0.4,0.0,0.0,0.0,0.0,0.0,3
0.88,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.7,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.92,0.7,0.75,0.4,0.1,0.0,0.0,0.0,0.0,3
0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.6,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.9,0.73,0.65,0.35,0.0,0.0,0.0,0.0,0.0,3
0.0,0.83,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.91,0.83,1.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.68,0.5,0.65,0.3,0.2,0.0,0.0,0.0,0.0,3
0.85,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,3
0.57,0.63,0.4,0.7,0.0,0.0,0.0,0.0,0.0,3
0.95,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.85,0.3,0.8,0.5,0.0,0.0,0.0,0.0,0.0,3
0.6,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.0,0.9,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3
0.9,0.77,0.45,0.4,0.0,0.0,0.0,0.0,0.0,3
0.73,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3
0.57,0.8,0.9,0.7,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.8,0.9,0.4,0.0,0.0,0.0,0.0,0.0,3
0.5,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,3
0.53,0.48,0.3,0.6,0.0,0.0,0.0,0.0,0.0,3
0.53,0.6,0.3,0.4,0.0,0.0,0.0,0.0,0.0,3
0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,3
0.45,0.77,0.75,0.6,0.0,0.0,0.0,0.0,0.0,3
0.8,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,3
0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.2,0.13,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.93,0.75,0.7,0.5,0.0,0.0,0.0,0.0,0.0,3
0.75,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
0.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3
1.0,0.85,0.8,0.001,0.3,0.0,0.0,0.0,0.0,3
1.0,0.48,0.399,0.4,0.2,0.0,0.0,0.0,0.0,3
0.929,0.3,0.6,0.7,0.0,0.0,0.0,0.0,0.0,3
0.8,0.35,0.4,0.499,0.0,0.0,0.0,0.0,0.0,3
0.8,0.871,0.9,0.5,0.0,0.0,0.0,0.0,0.0,3
0.71,0.78,0.75,0.4,0.0,0.001,0.0,0.0,0.0,3
0.95,0.7,0.5,0.6,0.0,0.0,0.0,0.001,0.0,3
0.83,0.8,0.9,0.65,0.0,0.0,0.001,0.0,0.0,3
0.0,1.0,0.8,0.0,0.001,0.0,0.0,0.0,0.0,3
0.0,0.7,0.8,0.5,0.101,0.0,0.0,0.0,0.0,3
0.0,0.0,0.9,0.0,0.199,0.0,0.0,0.0,0.0,3
0.6,0.0,0.999,0.6,0.0,0.0,0.0,0.0,0.0,3
0.6,0.67,0.901,0.0,0.0,0.0,0.0,0.0,0.0,3
0.401,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.95,0.799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.8,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.001,3
0.0,0.8,0.8,0.0,0.001,0.0,0.0,0.0,0.0,3
0.0,0.951,0.7,0.6,0.0,0.0,0.0,0.0,0.0,3
0.95,0.67,0.7,0.5,0.1,0.0,0.001,0.0,0.0,3
0.68,0.5,0.65,0.3,0.2,0.001,0.0,0.0,0.0,3
0.0,0.7,0.2,0.4,0.0,0.001,0.0,0.0,0.0,3
0.831,0.95,0.7,0.4,0.0,0.0,0.0,0.0,0.0,3
0.7,0.0,1.0,0.0,0.0,0.0,0.001,0.0,0.0,3
0.45,0.769,0.75,0.6,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.9,0.499,0.0,0.0,0.0,0.0,0.0,3
0.95,0.5,0.0,0.7,0.0,0.001,0.0,0.0,0.0,3
0.93,0.63,0.9,0.5,0.1,0.0,0.001,0.0,0.0,3
0.5,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,3
0.45,0.0,0.0,0.5,0.001,0.0,0.0,0.0,0.0,3
0.449,0.769,0.75,0.6,0.0,0.0,0.0,0.0,0.0,3
0.87,0.9,0.9,0.0,0.0,0.001,0.0,0.0,0.0,3
0.0,0.0,0.9,0.0,0.198,0.0,0.0,0.0,0.0,3
0.832,0.95,0.7,0.4,0.0,0.0,0.0,0.0,0.0,3
0.281,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.001,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.78,0.37,0.6,0.399,0.2,0.0,0.0,0.0,0.0,3
0.75,0.8,0.7,0.0,0.001,0.0,0.0,0.0,0.0,3
0.6,0.0,1.0,0.6,0.0,0.0,0.001,0.0,0.0,3
0.97,0.45,0.9,0.0,0.0,0.001,0.0,0.0,0.0,3
0.68,0.68,0.3,0.3,0.0,0.0,0.0,0.001,0.0,3
0.9,0.77,0.8,0.0,0.001,0.0,0.0,0.0,0.0,3
0.72,0.83,0.6,0.5,0.001,0.0,0.0,0.0,0.0,3
0.569,0.65,0.6,0.4,0.0,0.0,0.0,0.0,0.0,3
0.8,0.47,0.8,0.5,0.2,0.001,0.0,0.0,0.0,3
0.83,0.8,0.9,0.65,0.0,0.0,0.001,0.001,0.0,3
0.45,0.0,0.0,0.5,0.0,0.001,0.0,0.0,0.0,3
0.45,0.0,0.0,0.5,0.001,0.001,0.0,0.0,0.0,3
0.0,0.0,0.9,0.499,0.0,0.0,0.0,0.001,0.0,3
0.83,0.8,0.9,0.65,0.0,0.0,0.001,0.0,0.0,3
0.931,0.3,0.6,0.7,0.0,0.0,0.0,0.0,0.0,3
0.449,0.769,0.75,0.6,0.0,0.0,0.001,0.0,0.0,3
0.4,0.7,0.8,0.601,0.0,0.0,0.0,0.0,0.0,3
0.6,0.67,0.902,0.0,0.0,0.0,0.0,0.0,0.0,3
0.95,0.7,0.5,0.6,0.0,0.0,0.0,0.0,0.001,3
0.97,0.7,0.7,0.5,0.199,0.0,0.0,0.0,0.0,3
0.73,0.6,0.5,0.5,0.0,0.001,0.0,0.0,0.0,3
0.9,0.8,0.799,0.4,0.0,0.0,0.0,0.0,0.0,3
0.5,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.001,0.9,0.0,0.199,0.0,0.0,0.0,0.0,3
0.28,0.7,0.8,0.0,0.0,0.0,0.0,0.001,0.0,3
0.9,0.0,0.899,0.0,0.0,0.0,0.0,0.0,0.0,3
0.93,0.63,0.9,0.5,0.1,0.0,0.0,0.0,0.0,3
0.6,0.669,0.902,0.0,0.0,0.0,0.0,0.0,0.0,3
0.57,0.43,0.9,0.0,0.0,0.0,0.001,0.0,0.0,3
0.83,0.45,0.0,0.301,0.0,0.0,0.0,0.0,0.0,3
0.84,0.83,0.999,0.4,0.0,0.0,0.0,0.0,0.0,3
0.0,0.951,0.7,0.6,0.001,0.0,0.0,0.0,0.0,3
0.78,0.37,0.6,0.399,0.2,0.0,0.001,0.0,0.0,3
0.85,0.001,0.6,0.7,0.0,0.0,0.0,0.0,0.0,3
0.2,0.13,0.8,0.0,0.0,0.001,0.0,0.0,0.0,3
0.75,0.83,0.4,0.5,0.2,0.0,0.0,0.0,0.001,3
0.6,0.669,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.7,0.63,0.7,0.501,0.0,0.0,0.0,0.0,0.0,3
0.651,0.77,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.93,0.63,0.9,0.5,0.1,0.0,0.0,0.0,0.001,3
0.0,0.95,0.7,0.6,0.0,0.0,0.001,0.0,0.0,3
0.34,0.5,0.801,0.4,0.1,0.0,0.0,0.0,0.0,3
0.68,0.5,0.65,0.3,0.2,0.001,0.001,0.0,0.0,3
0.6,0.668,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.9,0.801,0.8,0.4,0.0,0.0,0.0,0.0,0.0,3
0.951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.951,0.7,0.6,0.0,0.0,0.0,0.0,0.001,3
0.91,0.83,1.0,0.7,0.0,0.0,0.0,0.0,0.001,3
0.67,0.4,0.599,0.5,0.0,0.0,0.0,0.0,0.0,3
0.721,0.83,0.6,0.5,0.0,0.0,0.0,0.0,0.0,3
0.0,0.951,0.7,0.6,0.0,0.0,0.001,0.0,0.0,3
0.97,0.7,0.699,0.5,0.199,0.0,0.0,0.0,0.0,3
0.7,0.63,0.7,0.499,0.0,0.0,0.0,0.0,0.0,3
0.8,0.0,0.0,0.7,0.0,0.0,0.001,0.0,0.0,3
0.0,0.0,0.9,0.5,0.0,0.0,0.0,0.001,0.0,3
0.92,0.701,0.75,0.4,0.1,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.4,0.0,0.0,0.001,0.0,0.0,3
0.45,0.0,0.0,0.499,0.0,0.0,0.0,0.0,0.0,3
0.0,0.951,0.701,0.6,0.0,0.0,0.0,0.0,0.0,3
0.7,0.77,0.55,0.4,0.0,0.001,0.0,0.0,0.0,3
0.569,0.63,0.4,0.7,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.6,0.001,0.0,0.0,0.0,0.0,3
0.7,0.63,0.7,0.0,0.301,0.0,0.0,0.0,0.0,3
0.5,0.0,0.8,0.0,0.0,0.0,0.001,0.0,0.0,3
0.83,0.8,0.9,0.65,0.0,0.001,0.001,0.001,0.0,3
0.73,0.6,0.501,0.5,0.0,0.0,0.0,0.0,0.0,3
0.599,0.77,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3
0.87,0.9,0.899,0.0,0.0,0.0,0.0,0.0,0.0,3
0.8,0.35,0.4,0.499,0.0,0.0,0.0,0.0,0.0,3
0.929,0.3,0.6,0.7,0.0,0.0,0.0,0.0,0.001,3
0.801,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,3
0.8,0.869,0.9,0.5,0.0,0.0,0.0,0.0,0.0,3
0.71,0.78,0.75,0.401,0.0,0.0,0.0,0.0,0.0,3
0.33,0.999,0.9,0.4,0.0,0.0,0.0,0.0,0.0,3
0.83,0.8,0.9,0.65,0.0,0.001,0.001,0.002,0.0,3
0.8,0.949,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
0.68,0.499,0.65,0.3,0.2,0.001,0.001,0.0,0.0,3
0.0,0.001,0.9,0.5,0.0,0.0,0.0,0.0,0.0,3
0.95,0.67,0.7,0.5,0.1,0.0,0.002,0.0,0.0,3
0.0,0.8,0.8,0.0,0.0,0.0,0.001,0.0,0.0,3
0.801,0.949,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3
1.0,0.5,0.8,0.0,0.0,0.001,0.0,0.0,0.0,3
0.87,0.5,0.8,0.0,0.0,0.0,0.0,0.001,0.0,3
0.4,0.7,0.801,0.6,0.0,0.0,0.0,0.0,0.0,3
0.45,0.0,0.8,0.0,0.0,0.001,0.0,0.0,0.0,3
0.0,1.0,0.8,0.0,0.002,0.0,0.0,0.0,0.0,3
0.681,0.5,0.65,0.3,0.2,0.001,0.001,0.0,0.0,3
0.931,0.63,0.9,0.5,0.1,0.0,0.0,0.0,0.001,3
0.47,0.93,0.9,0.6,0.0,0.001,0.0,0.0,0.0,3
0.831,0.95,0.7,0.4,0.0,0.0,0.0,0.0,0.0,3
0.47,0.93,0.9,0.599,0.0,0.0,0.0,0.0,0.0,3
0.92,0.7,0.749,0.4,0.1,0.0,0.0,0.0,0.0,3
0.9,0.67,0.45,0.55,0.0,0.0,0.0,0.001,0.0,3
0.95,0.8,1.0,0.001,0.0,0.0,0.0,0.0,0.0,3
0.97,0.45,0.9,0.001,0.0,0.001,0.0,0.0,0.0,3
0.95,0.7,0.5,0.6,0.0,0.0,0.0,0.0,0.001,3
0.7,0.63,0.7,0.501,0.001,0.0,0.0,0.0,0.0,3
0.6,0.669,0.9,0.0,0.0,0.0,0.0,0.0,0.001,3
0.83,0.8,0.899,0.65,0.0,0.001,0.001,0.001,0.0,3
0.92,0.7,0.75,0.4,0.1,0.0,0.0,0.0,0.0,3
0.931,0.3,0.6,0.7,0.0,0.0,0.001,0.0,0.0,3
0.0,0.0,0.9,0.001,0.198,0.0,0.0,0.0,0.0,3
0.931,0.43,0.8,0.6,0.0,0.0,0.0,0.0,0.0,3
0.5,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3
0.8,0.7,0.3,0.3,0.001,0.0,0.0,0.0,0.0,3
0.53,0.6,0.3,0.4,0.0,0.0,0.001,0.0,0.0,3
0.9,0.599,0.0,0.55,0.0,0.0,0.0,0.0,0.0,3
0.84,0.83,1.0,0.4,0.0,0.0,0.0,0.0,0.0,3
1.001,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,3
0.8,0.869,0.9,0.501,0.0,0.0,0.0,0.0,0.0,3
